v_drive [km/h]	stg	PKW	LNF	LKW	LSZ	RB	SB	MR-2T	MR-4T	KKR	Free
30	10	-0.025026178	-0.024372063	-0.00123091	-0.000441208	-0.001525927	0	-0.035452375	-0.036465339	-0.009722581	0
30	15	-0.011444923	-0.010433339	-0.000156211	0	0	0	-0.007408772	-0.007408772	-0.001426394	0
30	20	-0.004857808	-0.004035929	0	0	0	0	-0.000384092	-0.000383106	0	0
35	-20	-1.426825314	-1.451647368	-1.517895589	-1.635244387	-1.554844493	-1.464517401	-1.083659178	-1.083659178	-0.868286222	0
35	-15	-0.99398412	-1.018833657	-1.077148611	-1.190439794	-1.112637506	-1.047349266	-0.744368841	-0.744368841	-0.533157266	0
35	-10	-0.589448354	-0.609872858	-0.651020169	-0.754665524	-0.682919138	-0.648759894	-0.440035959	-0.440035959	-0.297170832	0
35	-6	-0.317409668	-0.332582538	-0.340328184	-0.429727971	-0.368493548	-0.367178567	-0.275350864	-0.275350864	-0.189493896	0
35	-4	-0.21594209	-0.224061074	-0.21204122	-0.291309023	-0.23451345	-0.246290766	-0.217751197	-0.217751197	-0.150551557	0
35	-2	-0.150225155	-0.155328586	-0.118939232	-0.170328994	-0.131294754	-0.157764137	-0.175180718	-0.175180718	-0.11455255	0
35	0	-0.105811554	-0.109724907	-0.074066888	-0.092918089	-0.079809475	-0.101772097	-0.137336966	-0.137336966	-0.095522527	0
35	2	-0.076355286	-0.078584575	-0.045612202	-0.052583489	-0.046420554	-0.060949793	-0.103176458	-0.103176458	-0.063706182	0
35	4	-0.05591209	-0.057360344	-0.026310765	-0.02450334	-0.026637313	-0.029583693	-0.085930339	-0.085930339	-0.043677025	0
35	6	-0.041082849	-0.041655461	-0.015850813	-0.007708343	-0.012959042	-0.010228037	-0.066666865	-0.066666865	-0.023831944	0
35	10	-0.020942746	-0.01953949	-0.002878332	0	-0.001334329	0	-0.024519545	-0.024784652	-0.005567515	0
35	15	-0.008122903	-0.00695028	-5.42201E-06	0	0	0	-0.002673228	-0.002673228	-0.000218805	0
35	20	-0.002453312	-0.002168624	0	0	0	0	-0.00021816	-0.000214914	0	0
40	-20	-1.500818988	-1.514036147	-1.572510208	-1.694469134	-1.616714581	-1.583925704	-1.088228398	-1.088228398	-0.842974448	0
40	-15	-1.044157413	-1.058871908	-1.114953439	-1.234266934	-1.158219521	-1.128101914	-0.723433035	-0.723433035	-0.491689263	0
40	-10	-0.613603379	-0.626298501	-0.669484752	-0.78079472	-0.709571333	-0.687316462	-0.409388374	-0.409388374	-0.264315107	0
40	-6	-0.320381109	-0.330841995	-0.34039081	-0.438695868	-0.376748024	-0.376310806	-0.248414566	-0.248414566	-0.164285955	0
40	-4	-0.211098353	-0.216701944	-0.202421224	-0.290061146	-0.232173409	-0.244454785	-0.194811008	-0.194811008	-0.128398272	0
40	-2	-0.142925611	-0.146686197	-0.106910212	-0.159834766	-0.12111178	-0.152545418	-0.154624874	-0.154624874	-0.096815745	0
40	0	-0.098808305	-0.10160725	-0.063678976	-0.081746711	-0.069358265	-0.094912358	-0.120581275	-0.120581275	-0.080067468	0
40	2	-0.070311695	-0.07182216	-0.038032361	-0.045411431	-0.038956947	-0.052998218	-0.09082494	-0.09082494	-0.052403027	0
40	4	-0.050960701	-0.051521246	-0.020836223	-0.020465056	-0.021528941	-0.022873551	-0.073862924	-0.073862924	-0.033957493	0
40	6	-0.036933098	-0.037158415	-0.01157681	-0.004664731	-0.011505952	0	-0.056513183	-0.056513183	-0.013020462	0
40	10	-0.018294168	-0.016667249	-0.002454893	0	-0.000749491	0	-0.015097124	-0.015097124	-0.00193109	0
40	15	-0.006566106	-0.005603749	0	0	0	0	-0.001665868	-0.001665868	0	0
